name,species,longitude,latitude,year,base
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.666667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.683333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.683333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.666667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.066667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.633333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.2,-45.133333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.083333,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.65,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.633333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.666667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.85,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.7,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.616667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.033333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.033333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.683333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.683333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.783333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.75,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.75,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.683333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.683333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.05,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.716667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.716667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.833333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.7,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.716667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.9,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.766667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.9,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.9,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.816667,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.133333,-45.166667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.9,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.966667,-45.1,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-45.083333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.05,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.133333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.1,-45.15,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.166667,-45.133333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-45.133333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.766667,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.783333,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.783333,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.833333,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.75,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.8,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.833333,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.916667,-45.283333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.816667,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.916667,-45.283333,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.766667,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.716667,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.9,-45.266667,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.783333,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.75,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.75,-45.25,2005,gbif
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.833333,-45.25,2005,gbif
